index,generated_output
109929,The product's item weight is 2.8 kg.
109930,"The product is a Makita circular saw. The wattage of the product is not directly visible on the product itself. However, you can find the wattage rating on the product packaging or on the label near the product. To determine the wattage, you would look for a label that indicates the power output of the saw."
109931,The voltage rating of the product is 36V.
109932,The voltage rating of the product is 120V.
109933,The product has a power rating of 530W.
109934,The maximum weight recommendation is 200 grams.
109935,The product's weight is 200 grams.
109936,The product has a power rating of 1000 watts.
109937,"The product illustration shows a black and silver ice maker with a capacity of 36 lbs of ice. The voltage rating is not explicitly mentioned in the image, but it is typically indicated on the product's packaging or label. If the voltage rating is not visible, it would be helpful to look for a label or a label on the product itself."
109938,The wattage of the product is not explicitly mentioned in the image.
109939,The voltage rating of the product is not explicitly mentioned in the product illustration.
109940,The product's item weight is 5000mAh.
109941,The maximum weight recommendation is 500 pounds.
109942,The volume of the product is 30 mL or 1 fl oz.
109943,The product's item weight is 3.39 lbs.
109944,The maximum weight recommendation is 250 LBS.
109945,The product illustration does not provide the voltage rating of the product.
109946,The maximum weight recommendation is 5 Ton.
109947,The maximum weight recommendation for the wooden step is up to 400 lbs.
109948,"The product's item weight is indicated by the label ""30g-1oz"" on the handle. This label suggests that the handle is designed to weigh between 30 grams and 1 ounce."
109949,The product's net weight is 0.37 lb/170g.
109950,The maximum weight recommendation is 11 lb/5 kg.
109951,The product's item weight is not explicitly indicated in the image.
109952,"The wattage of the product is not explicitly mentioned in the image. However, the text ""ONE-STEP CHARGING"" suggests that the charger station only needs one charging cable, which implies that it is designed to be compact and efficient."
109953,The image does not provide a specific measurement of the product's weight.
109954,The product's item weight is not explicitly indicated in the image.
109955,The image does not provide any information about the product's item weight.
109956,The product's item weight is not explicitly indicated in the image.
109957,The image does not provide a specific measurement of the product's item weight.
109958,The image does not provide a specific weight measurement for the product.
109959,"The product's item weight is not explicitly indicated in the image. However, the image shows various features of the golf bag, such as a tee bit holder, a split base, a constant temperature bag, and 4-way dividers."
109960,The image does not provide any labels or measurements indicating the weight of the product.
109961,The product's item weight is not explicitly indicated in the image.
109962,The product's item weight is 18.5 cm (7.3 inches).
