index,generated_output
67761,The voltage rating of the product is DC 12V.
67762,The wattage of the product is 0.5 watts.
67763,The width of the product is 4.72 inches (120 mm).
67764,The width of the product is 36CM.
67765,The depth of the product is 45CM.
67766,The width of the product is 615 mm.
67767,The height of the product is 50 cm.
67768,The maximum weight recommendation is 330 LBS.
67769,The height of the product is 27 cm.
67770,The height of the product is 180 cm.
67771,The width of the product is 1 inch.
67772,The depth of the product is 1 inch.
67773,The depth of the product is 150 cm.
67774,The height of the product is 150 cm.
67775,The width of the product is 150 cm.
67776,The depth of the product is 1.3 cm.
67777,The width of the product is 25cm.
67778,"The wattage of the product is not explicitly mentioned in the image. However, the product is described as a label printer, which typically requires a certain amount of power to operate. To determine the wattage, you would need to look for labels indicating power usage or output near the product."
67779,The product's item weight is not explicitly indicated in the image.
67780,The product's item weight is 58 grams.
67781,"The height of the products in the image is as follows:

1. Elephant with a heart: 3.3 inches (8.5 cm)
2. Elephant with a bow: 4.3 inches (11 cm)
3. Elephant with a heart: 3.3 inches (8.5 cm)
4. Heart-shaped decoration: 2.9 inches (7.5 cm)"
67782,The width of the product is 3.3 inches (8.5 cm).
67783,The depth of the product is 3.3 inches (8.5 cm).
67784,The height of the product is 29.5 inches.
67785,The product is 28 cm tall.
67786,The product has a width of 28cm (11.02 inches).
67787,The depth of the product is 28 cm (11.02 inches).
67788,The width of the product is 7.8 inches.
67789,The depth of the product in the image is 120 cm.
67790,The width of the product in the image is 120 cm.
67791,The product has a width of 7 cm (2.76 inches).
67792,The height of the product is 17.63 inches.
67793,The width of the product is 15cm (5.9 inches).
67794,The product size is 21 cm (8.26 inches) in length and 15 cm (5.9 inches) in width.
67795,The width of the product is 11.8 inches.
67796,The width of the product is 5 inches.
67797,The depth of the product is 5 inches.
67798,The volume of the product is 100 mL.
67799,The height of the product is 8.2 cm.
67800,The depth of the product is 8.5 cm.
67801,The volume of the product is 414 mL.
67802,The width of the product is 3.5 inches.
67803,The height of the product is 3.5 inches.
67804,The product's item weight is 6.8 pounds.
67805,"The width of the product is 150cm, which is equivalent to 4.92 feet."
67806,"The depth of the product is 200 cm, which is equivalent to 6.56 ft."
67807,The height of the product is 3.5 inches (9 cm).
67808,The width of the product is 4.1 inches (10.5 cm).
67809,The depth of the product is 40 cm.
67810,The product has a height of 12.6 cm (4.96 inches).
67811,The depth of the product is 1.1 cm (0.43 inches).
67812,The width of the product is 1.1 cm (0.43 inches).
67813,The depth of the product is 3.7 cm or 1.45 inches.
67814,The height of the product is 4.00 cm.
67815,The product's item weight is 17.5 grams.
67816,The height of the product is 80 cm (19.7 inches).
67817,The width of the product is 8 cm.
67818,The product is 15 cm tall and 8 cm wide.
67819,The height of the product is 4.5 inches.
67820,The width of the product is 4.3 inches.
67821,The depth of the product is 4.3 inches.
67822,The width of the product is 210mm.
67823,The depth of the product is 297mm.
67824,The product's item weight is 96W.
67825,The height of the product is 12 cm.
67826,The product weight is 7.9 lbs.
67827,The product has a height of 83.6 cm.
67828,The voltage rating of the product is 115V.
67829,"The product has a capacity of 22,000 BTUs."
67830,The depth of the product is 21 cm.
67831,The height of the product is 25 cm.
67832,The depth of the product is 21mm.
67833,The depth of the product is 3.74 inches.
67834,The width of the product is 9.84 inches.
67835,The height of the product is 5.9 inches or 15 cm.
67836,The depth of the product is 3.93 inches or 10 cm.
67837,The product's item weight is not explicitly indicated in the image.
67838,The product is 16 cm (6.29 inches) in diameter.
67839,The product has a width of 10cm (3.93 inches).
67840,The product illustration mentions that the flashlight has a voltage rating of 18650.
67841,The product's item weight is 0.46 oz or 13 g.
67842,The maximum weight recommendation is 1500 grams.
67843,The width of the product is 18 inches.
67844,The height of the product is 18 inches.
67845,The volume of the product is 355 mL.
67846,The product's item weight is 600 grams.
67847,The width of the product is 30 cm.
67848,The wattage of the product is 1.2W.
67849,The voltage rating of the product is 24V.
67850,The product has a height of 10 inches.
67851,The width of the product is 3.7 inches.
67852,The depth of the product is 2.8 inches (7.1 cm).
67853,The height of the product is 7 inches (17.7 cm).
67854,The product is 5 inches wide.
67855,The product is 5 inches tall.
67856,The voltage rating of the product is 4Ω2W.
67857,The depth of the product is 5.04 inches.
67858,The depth of the product is 80cm or 2.6 feet.
67859,The height of the product is 45 inches.
67860,The width of the product is 51.1 inches.
67861,The height of the product is 72 cm.
67862,The height of the product is 15.35 inches.
67863,The width of the product is 32mm.
67864,The product's item weight is 3 oz (85g).
67865,The product is a 16 cm (6.3 inch) diameter moon lamp. The voltage rating is not explicitly mentioned in the product illustration.
67866,The depth of the product is 9.5 cm / 3.7 inches.
67867,The product has a height of 9.5 cm (3.7 inches).
67868,The height of the product is 7 cm.
67869,The depth of the product is 30 cm.
67870,The volume of the product is 946 mL.
67871,The height of the product is 90 cm (35.4 inches).
67872,The depth of the product is 205 cm (80.7 inches).
67873,The depth of the product is 27.95 inches.
67874,The height of the product is 28.74 inches.
67875,The height of the product is 89 cm.
67876,The width of the product is 58cm.
67877,The height of the product is 13.5 cm.
67878,The height of the product is 40 inches.
67879,The height of the product is 18.5 inches.
67880,The height of the product is 200 cm (78.7 inches).
67881,The product has a height of 450mm.
67882,The width of the product is 450mm.
67883,The depth of the product is 2.5 inches or 6.5 centimeters.
67884,The width of the product is 2.7 inches or 6.9 centimeters.
67885,The width of the product is 11 cm.
67886,The product has a height of 8.3 cm.
