index,generated_output
108076,The product has a height of 7 inches.
108077,The width of the product is 550mm.
108078,The depth of the product is 10 inches.
108079,The product has a height of 34.25 inches.
108080,The product's item weight is 100W MAX.
108081,The width of the product is 14.2 inches.
108084,The product has a height of 14 inches (36 cm).
108085,The width of the product is 20 cm.
108086,The product has a height of 151.89 cm.
108087,The depth of the product is 12 inches.
108088,The width of the product is 16 inches.
108089,The product width is 10.6 inches.
108090,"The product in the image is a set of shower door components, including:

1. **Magnetduschkdichtung (Magnetic Shower Ducting)**: 180° | 2m Set
2. **2x2m Spaltdichtung (2x2m Spacing Ducting)**: 15mm
3. **2x0,8m Bodendichtung (2x0.8m Floor Ducting)**: 12mm

The height of the product is not explicitly mentioned in the image."
108091,The height of the product is 30.25 inches.
108092,The height of the product is 53 cm.
108093,The depth of the product is 30 inches.
108094,The width of the product is 10cm (3.93 inches).
108095,The depth of the product is 10 cm (3.93 inches).
108096,The depth of the product is 19.5 cm (7.68 inches).
108097,The width of the product is 19.5 cm (7.68 inches).
108098,The depth of the product is 3 inches or 7.5 centimeters.
108099,The width of the product is 3 inches (7.5 cm).
108100,The product has a width of 6 inches.
108101,The product has a height of 19 mm.
108102,The width of the product is 10 inches.
108103,The depth of the product is 16.4 inches.
108104,The product has a height of 16.4 inches.
108105,The height of the product is 30 cm.
108106,The height of the product is 31 cm.
108107,The product is a rectangular tablecloth that fits a rectangular dinner table. The tablecloth is 274 cm (108 inches) wide and 137 cm (54 inches) tall.
108108,The height of the product is 10cm.
108109,The product has a maximum width of 3.11 inches for the plane iron and a minimum width of 1.37 inches for the chisels.
108110,The height of the product is 3.11 inches.
108111,The product has a width of 3.43 inches.
108112,The depth of the product is 34 inches.
108113,The width of the product is 20 inches.
108114,The product's item weight is 2.3 lbs.
108115,The product has a height of 23 inches.
108116,The product is 5.9 inches tall.
108117,"The width of the product is 15cm (5.9 inches) for the 5.9 inch driver, 12cm (4.7 inches) for the 4.7 inch wood, and 10cm (3.9 inches) for the 3.9 inch utility."
108118,The depth of the product is 18.5 cm.
108119,The width of the product is 21.5 cm.
108120,The height of the product is 18.5 cm.
108121,The product is a 16 cm tall PVC figure.
108122,The product width is 16cm.
108123,The product height is 16 cm.
108124,The depth of the product is 75 cm.
108125,The product is 8 cm tall.
108126,The product is 8 cm (3.1 inches) in diameter.
108127,The height of the product is 2.4 inches.
108128,The width of the product is 2.4 inches.
108129,The depth of the product is 2.4 inches.
108130,The height of the product is 34.16 mm.
108131,The width of the product is 4.6 inches.
108132,The depth of the product is 4.6 inches.
108133,The height of the product is 12 inches.
108134,The product is 5 inches tall.
108135,The product's item weight is 150 kg.
108136,The maximum weight recommendation is 150KG.
108137,The width of the product is 3.9 inches.
108138,The depth of the product is 3.9 inches.
108139,The width of the product is 4.5 cm.
108140,The product has a height of 30 cm (11.81 inches).
108141,The width of the product is 30 cm or 11.81 inches.
108142,The depth of the product is 1 mm.
108143,The depth of the product is 111.6mm.
108144,The depth of the product is 5.7 inches (14.5 cm).
108145,The width of the product is 5.7 inches or 14.5 centimeters.
108146,The depth of the product is 9 cm.
108147,The height of the product is 16 cm.
108148,The width of the product is 21 inches.
108149,The height of the product is 43.3 inches.
108150,The product is 10 feet wide and 20 feet long.
108151,The product is 10' wide.
108152,The width of the product is 2.52 inches (64 MM).
108153,The product has a height of 9.25 inches (23.5 cm).
108154,The width of the product is 13mm.
108155,The height of the product is 16mm.
108156,The depth of the product is 13mm/0.51 inch for the E11 Base Old Version and 16mm/0.63 inch for the E11 Improved Base New Version.
108157,The height of the product is 32.68 inches.
108158,The width of the product is 60.63 inches.
108159,The height of the product is 30.3 inches.
108160,The depth of the product is 2.9 inches.
108161,The width of the product is 2.9 inches.
108162,The product is 40 cm wide.
108163,The product is a 40cm Reflektor-Softbox.
108164,The maximum weight recommendation for the Abdominal Wheel is 200 kg.
108165,The product's item weight is 200 kg.
108166,The height of the product is 5.1 inches.
108167,The depth of the product is 5.1 inches.
108168,"The height of the products in the image is as follows:

1. Princess Castle: 8X5 inch
2. Princess Crown: 7X3.75 inch
3. Princess Carriage: 6X6.25 inch"
