index,generated_output
51747,The height of the product is 20.9 cm.
51748,The width of the product is 25 cm.
51749,The product is 170 cm tall.
51750,The height of the product is 0.89 inches.
51751,The depth of the product is 84 inches.
51752,The product covers a 72-inch round table.
51753,The product is 84 inches tall.
51754,The depth of the product is 1.6mm at the thinnest point and 4.5mm at the thickest point.
51755,The height of the product is 26 inches.
51756,The depth of the product is not specified in the given information.
51757,The width of the product is 26 inches.
51758,"The height of the product is 12 1/4""."
51759,The width of the product is 6 inches.
51760,The product's item weight is 3.75 pounds.
51761,The height of the product is 7.5cm or 2.95 inches.
51762,The depth of the product is 7.5 cm or 2.95 inches.
51763,The height of the product is 8.8 inches.
51764,The height of the product is 4.72 inches.
51765,The depth of the product is 2.36 inches.
51766,The depth of the product is 2 cm.
51767,The width of the product is 2cm.
51768,The product's item weight is 15 oz.
51769,The depth of the product is 0.5 inches or 1.5 centimeters.
51770,The product has a height of 4.1 inches (10.5 cm).
51771,The product is 28.74 inches tall.
51772,The depth of the product is 5.31 inches.
51773,The product has a width of 5.5 cm (2.16 inches).
51774,The depth of the product is 5.5 cm (2.16 inches).
51775,The voltage rating of the product is 11.1V.
51776,The depth of the product is 3 cm or 1.2 inches.
51777,The volume of the product is 12 fluid ounces (355 milliliters).
51778,The height of the product is 25 cm.
51779,The product's item weight is 147 grams.
51780,The maximum weight recommendation is 147 grams.
51781,The depth of the product is 3.1 inches.
51782,The height of the product is 3.1 inches.
51783,The height of the product is 4 inches.
51784,The depth of the product is 0.23 inches.
51785,The height of the product is 23 inches.
51786,The width of the product is 42cm.
51787,The product has a height of 80mm (3.15 inches).
51788,The width of the product is 11.87 inches or 30 cm.
51789,The depth of the product is 11.87 inches or 30 cm.
51790,The depth of the product is 6.8 cm (2.6 inches).
51791,The wattage of the product is 1080W.
51792,"The product illustration does not provide specific voltage ratings. However, it does mention ""Full HD 1080p,"" which indicates the resolution of the display. To determine the voltage rating, you would need to look for any electrical specifications or labels on the product itself."
51793,The depth of the product is 30mm.
51794,The product has a height of 30mm.
51795,The depth of the product is 5.5 inches or 14.0 centimeters.
51796,The product is 36 cm tall.
51797,The product has a height of 55 mm.
51798,The wattage of the product is 1260 Watts.
51799,The voltage rating of the product is 1260 Watts.
51800,The depth of the product is 2.75 inches.
51801,The width of the product is 11 cm or 4.32 inches.
51802,"The depth of the product is 11 cm, which is 4.32 inches."
51803,"The height of the product is 14 cm, which is 5.50 inches."
51804,The height of the product is 37.5 cm.
51805,The width of the product is 23.5 cm.
51806,The height of the product is 5.4 cm.
51807,"The height of the product is 25.5 cm, which is approximately 10 inches."
51808,The height of the product is 12.5 cm.
51809,The depth of the product is 7.5 cm.
51810,The width of the product is 4.72 inches (120mm).
51811,The height of the product is 84 cm.
51812,The depth of the product is 47.5 cm.
51813,The width of the product is 47.5 cm.
51814,The product has a height of 86mm.
51815,The product is a 120-watt LED bulb.
51816,The product has a width of 118mm.
51817,"The product in the image is a 120-watt LED bulb. The height of the product is not explicitly mentioned in the image, but we can infer it based on the packaging. The packaging indicates that the bulb is 118mm in height."
51818,"The product is a rectangular mouse pad with the following dimensions:

- Size: 27.5"" x 12"" (F)"
51819,The width of the product is 27.5 inches.
51820,The height of the product is 15 cm.
51821,The width of the product is 28.7 cm.
51822,The depth of the product is 94 cm (37.01 inches).
51823,The height of the product is 11.5 inches.
51824,The product is 3x5 meters tall.
51825,The product is a transparent tarpaulin with a depth of 3x5 meters.
51826,The width of the product is 4.33 inches or 11 centimeters.
51827,The depth of the product is 4.33 inches or 11 centimeters.
51828,The height of the product is 29.5 inches.
51829,The depth of the product is 65CM.
51830,The width of the product is 205 cm.
51831,The height of the product is 4.72 inches (12 cm).
51832,The depth of the product is 0.39 inches (1 cm).
51833,The depth of the product is 24 cm.
51834,The width of the product is 24CM.
51835,The height of the product is 175mm.
51836,The height of the product is 62 cm.
51837,The width of the product is 62cm.
51838,The product's item weight is not explicitly indicated in the image.
51839,The product's item weight is not explicitly indicated in the image.
51840,The height of the product is 18.5 inches.
51841,The product is rated at 26800mAh.
51842,The width of the product is 3cm or 1.18 inches.
51843,"The depth of the product is 3cm, which is approximately 1.18 inches."
51844,The width of the product is 155 mm.
51845,The depth of the product is 155 mm.
51846,The height of the product is 2 inches.
51847,The product has a width of 1.4 inches.
51848,The width of the product is 3.14 inches or 8.0 centimeters.
51849,The depth of the product is 3.14 inches (8.0 cm).
51850,The width of the product is 28.25 inches.
51851,The wattage of the product is 12 watts per set.
51852,The product's item weight is not explicitly indicated in the image.
51853,The voltage rating of the product is 12V.
51854,The maximum weight recommendation is 150 kg (330 lbs).
51855,The width of the product is 56 cm.
51856,The depth of the product is 52mm.
51857,The height of the product is 25 cm (9.8 inches).
51858,The maximum weight recommendation is 220 lbs.
51859,The depth of the product is 7ft.
51860,The width of the product is 80mm.
51861,The width of the product is 0.66 inches (17 millimeters).
51862,The depth of the product is 0.66 inches (17 millimeters).
51863,The item's weight is 10.5 grams.
51864,The height of the product is 35 cm (13.8 inches).
51865,The voltage rating of the product is 165 Hz.
51866,"The product is a Lenovo Legion laptop. The wattage is not explicitly mentioned in the image, but you can find it on the product's packaging or on the specifications page of the Lenovo website."
51867,The height of the product is 12 inches (30.5 cm).
51868,The width of the product is 12 inches (30.5 cm).
51869,The depth of the product is 7.3 cm (2.87 inches).
51870,The product's item weight is not explicitly indicated in the image.
51871,The width of the product is 1.69 inches.
51872,The depth of the product is 5 inches.
51873,The width of the product is 5 inches.
51874,The height of the product is 5 inches.
51875,The product's item weight is 2.2 lbs.
51876,The width of the product is 24.3 cm (9.57 inches).
