index,generated_output
111779,The product's net weight is 1.8 lb (0.8 kg).
111780,The product is a 20W PD Fast Charger.
111781,The product's item weight is not explicitly indicated in the image.
111782,"The product information in the image indicates the following:

- Material: Aluminum Alloy
- Product Size: 166 x 22 x 110 mm
- Product Weight: 142 g
- Package Size: 205 x 125 x 45 mm
- Package Weight: 223 g

The product weight is 142 grams."
111783,The maximum weight recommendation is 142 grams.
111784,The maximum weight recommendation is 350 lb.
111785,The product's item weight is 350 lb.
111786,The laptop stand weighs only 0.56 lbs.
111787,The maximum weight recommendation is 10 kg (22 lb).
111788,The volume of the product is 295 mL.
111789,The wattage of the product is 12V 0.18A.
111790,The voltage rating of the product is 12V.
111791,The product's item weight is 350g.
111792,"The volume of the product can be determined by interpreting the visible dimensions. The jar is cylindrical and has a width of 2.5 inches and a height of 2.5 inches. The volume of a cylinder is calculated using the formula:

\[ \text{Volume} = \pi r^2 h \]

where \( r \) is the radius and \( h \) is the height. The radius \( r \) can be calculated as:

\[ r = \frac{\text{width}}{2} \]

\[ r = \frac{2.5}{2} = 1.25 \text{ inches} \]

\[ h = \text{height} \]

\[ h = 2.5 \text{ inches} \]

\[ \text{Volume} = \pi (1.25)^2 \times 2.5 \]

\[ \text{Volume} = \pi \times 1.5625 \times 2.5 \]

\[ \text{Volume} = 4.188888888888889 \text{ cubic inches} \]

Therefore, the volume of the product is approximately 4.19 cubic inches."
111793,The product is a can of sparkling pomegranate juice. The can is 8.4 fluid ounces (248 milliliters) in volume.
111794,The product's item weight is 600 grams.
111795,The product's item weight is 2.8 oz (78.5 g).
111796,"The maximum weight capacity is indicated by the label ""Weight Capacity: ≤55 lbs (25 kg)."""
111797,The product's item weight is 194 grams (0.43 pounds).
111798,The maximum weight recommendation is 194 grams (0.43 pounds).
111799,"The volume of the product can be determined by interpreting the visible dimensions. The bottle has a width of 16 inches and a depth of 4 inches. The volume can be calculated as follows:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

\[ \text{Volume} = 16 \, \text{inches} \times 4 \, \text{inches} \times 16 \, \text{inches} \]

\[ \text{Volume} = 1024 \, \text{cubic inches} \]

Therefore, the volume of the product is 1024 cubic inches."
111800,The product's item weight is not explicitly indicated in the image.
111801,The product in the image is a Topeak Micro Air Booster with a 169 Cartridge. The label indicates that the weight of the cartridge is 169 grams.
111802,The wattage of the product is 30W.
111803,The volume of the product is 32 fluid ounces (946 milliliters).
111804,The product's item weight is 6GB + 2GB.
111805,The product's item weight is 13 W.
111806,The product's item weight is 37 grams.
111807,The maximum weight recommendation is 330 lbs.
111808,The product's item weight is 330 lbs.
111809,The product's net weight is 32 grams (1.1 ounces).
111810,The product's item weight is 2 ounces (56.69 grams).
111811,The maximum load capacity of the chair is 300 lbs.
111812,The product has a power output of 60W.
111813,The voltage rating of the product is 220V.
111814,The product has a rated voltage of 220V.
111815,The bottle of Lyre's Dark Cane Spirit is 700 milliliters in volume.
