index,generated_output
118080,"The product's item weight is 10,000 PSI (68.9 MPa/700 Bar)."
118081,The maximum weight recommendation is 1800 lbs.
118082,The product's item weight is not explicitly indicated in the image.
118083,The product's item weight is 195g.
118084,The product's item weight is 25g.
118085,"The image shows a service dog wearing a harness with a patch that reads ""SERVICE DOG WORKING DO NOT TOUCH."" There is no visible label indicating the maximum weight recommendation in the image."
118086,"The image shows a dog wearing a service dog harness. The harness has a label on the back that reads ""SERVICE DOG WORKING DO NOT TOUCH."" There is no indication of the item's weight in the image."
118087,The maximum weight recommendation is 1666 lbs (755.7 kg).
118088,The product's item weight is not explicitly indicated in the image.
118089,The maximum weight recommendation is 22 pounds.
118090,The product's item weight is 22 pounds.
118091,The product's item weight is 2 kg.
118092,The product's item weight is 2.7 kg.
118093,The image does not provide a specific weight measurement for the product.
118094,The product's item weight is not explicitly indicated in the image.
118095,The voltage rating of the product is 1.2V.
118096,The product's item weight is 5 weight.
118097,The product's item weight is 700 lbs.
118098,The product's item weight is 30 pounds (lb).
118099,The product's item weight is indicated as 400 lbs.
118100,The maximum weight recommendation is 400 lbs.
118101,The product's item weight is 16.2 lb (7.35 kg).
118102,"The formula calculator is used to determine the number of bottles or days of formula needed based on the volume of the product. Here are the calculations for the different volumes:

1. **2 fl oz (60 ml)**:
   - 70 bottles or 15.5 days
   - Assuming 4-5 servings per day, when 100% powder-fed

2. **4 fl oz (120 ml)**:
   - 35 bottles or 7.5 days
   - Assuming 4-5 servings per day, when 100% powder-fed

3. **8 fl oz (240 ml)**:
   - 17 bottles or 3.5 days
   - Assuming 4-5 servings per day, when 100% powder-fed

The calculator is based on the assumption of 4-5 servings per day, when 100% powder-fed."
118103,"The product's item weight is not explicitly indicated in the image. However, the image provides information about the dimensions and features of the fitness equipment."
118104,The maximum weight recommendation is 400 lbs.
118105,The image does not provide any information about the product's item weight.
118106,"The maximum weight recommendation for the upgraded 4"" casters is 220 lbs."
118107,The image does not provide any labels or information about the maximum weight recommendation.
118108,"The image does not provide a direct measurement of the product's item weight. However, the label on the product mentions ""WIPES,"" which suggests that the product comes with cleaning wipes."
118109,The wattage of the product is not visible in the image.
118110,The product's item weight is 3 pounds (lbs).
118111,"To determine the volume of the True North Black Cherry Pure Energy Seltzer, we need to consider the dimensions of the packaging and the volume of the individual can.

1. **Width and Depth**: The packaging is a rectangular box with dimensions that are not explicitly given. However, we can infer that the width and depth are likely to be similar due to the packaging design.

2. **Height**: The height of the packaging is not explicitly given, but we can estimate it based on the visible dimensions of the individual can.

Given that the True North Black Cherry Pure Energy Seltzer is a 12-ounce can, we can estimate the height of the packaging as follows:

- The height of the individual can is approximately 3.55 inches (12 ounces).
- The height of the packaging is likely to be similar, so we can estimate it to be around 3.55 inches.

Now, we can calculate the volume of the packaging using the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

\[ \text{Volume} = 12 \, \text{inches} \times 12 \, \text{inches} \times 3.55 \, \text{inches} \]

\[ \text{Volume} = 444 \, \text{cubic inches} \]

\[ \text{Volume} = 444 \, \text{fl. oz.} \]

Therefore, the volume of the True North Black Cherry Pure Energy Seltzer is approximately 444 fluid ounces."
118112,The wattage of the product is 12V 0.04A.
118113,The voltage rating of the product is 12V.
118114,The product's item weight is 2.2 pounds (lb).
118115,The product's item weight is 16.5 ounces (462 grams).
118116,The product's item weight is 220 lbs.
118117,The maximum weight recommendation is 220 lbs.
118118,The product's item weight is approximately 0.82 pounds (370 grams).
118119,"The product is a USB-C to Lightning cable, which is a type of USB cable. The wattage of the product is not directly visible in the image. However, the product is described as ""High-speed charging,"" ""MFi Certified,"" ""Lightweight Design,"" and ""Flexible use."" These features suggest that the cable is designed to provide fast charging and is lightweight and flexible."
118120,The maximum weight recommendation is 800 lbs.
118121,The product's item weight is not explicitly indicated in the image.
118122,The wattage of the product is 650 watts.
118123,The maximum weight recommendation is 400 LBS.
