index,generated_output
124186,The maximum weight recommendation is 300 lbs.
124187,The product's net weight is 37.5 pounds (17 kilograms).
124188,The product is a 11 fl oz (325 mL) bottle.
124189,The product is a spray bottle with a capacity of 32 fluid ounces (946 milliliters).
124190,The product has a power output of 60W.
124191,The product's item weight is not explicitly indicated in the image.
124192,The product's item weight is 3 pounds (lbs).
124193,"The product in the image is a bicycle pedal. The label ""weight"" is not visible in the image."
124194,The maximum weight recommendation is 450 kg (990 lb).
124195,The voltage rating of the product is 110V/60Hz.
124196,The product has a rated power of 990 watts.
124197,The product's item weight is 8.2 pounds (lb).
124198,The product's item weight is 24 lbs.
124199,The product's item weight is approximately 2.8 pounds (lb).
124200,The volume of the product is 650 mL.
124201,The product's item weight is 8.5 lbs.
124202,The wattage of the product is 61W.
124203,The product's item weight is 61W.
124204,The image does not provide a specific weight measurement for the protective gear.
124205,The product is a 850W power supply.
124206,The product's item weight is 850W.
124207,The product's item weight is 6 kg.
124208,"The maximum weight recommendation is not explicitly stated in the image. However, the image shows the size comparison between a small dog breed and a medium/small dog breed. The size comparison is based on the dimensions of the dog crates, not on the maximum weight capacity."
124209,The product's item weight is not explicitly indicated in the image.
124210,The maximum weight recommendation is 280 lbs.
124211,The weight capacity of the rowing machine is 280 lbs.
124212,The product's item weight is not explicitly indicated in the image.
124213,The maximum weight recommendation for the floating shelf is 150 lbs.
124214,"The package includes:

1. 1 Gallon of Epoxy Resin (A)
2. 1 Gallon of Epoxy Hardener (B)
3. 1 Plastic Stirring Rod
4. 1 Silicone Stirring Stick
5. 6 Epoxy Resin Colorants (6ml each)
6. 6 Resin Pigments (6ml each)
7. 2 Disposable Gloves
8. 1 Instruction Manual

The total volume of the product is 2 Gallons (1 Gallon of Resin + 1 Gallon of Hardener)."
124215,The product's item weight is 2.08 kg.
124216,The product's item weight is 3.46 ounces.
124217,The maximum weight recommendation for the Complete Original six-position carrier is 45 pounds.
124218,The product's item weight is 1.9 lbs (0.9 kg).
124219,The maximum weight recommendation is 650 lbs.
124220,The maximum weight recommendation is 200 kg or 440 lbs.
124221,"The product's item weight is indicated in the image. Here are the measurements and their corresponding weights:

1. Abdominal roller: 200 kg (440 lbs)
2. Push-up bar: 20 kg (44 lbs)
3. Jump rope: 20 kg (44 lbs)
4. Resistance bands: 20 kg (44 lbs)

These are the weights of the items in the image."
124222,The product's item weight is 3.09 lbs.
124223,The maximum weight recommendation in the image is 600 lbs.
124224,The product's item weight is up to 600 lbs.
124225,The product's item weight is not explicitly indicated in the image.
124226,The maximum weight recommendation is 120 kg.
124227,The product's item weight is 27.5 kg.
124228,The product's item weight is 7.5 oz.
124229,The maximum weight recommendation is 7.5 oz.
124230,The maximum weight recommendation is 500 pounds.
124231,The image does not provide a specific weight measurement for the vacuum bags.
124232,The product's item weight is not explicitly indicated in the image.
124233,The product weight is 1.45 lb.
124234,The image does not provide any information about the product's weight.
124235,The maximum weight recommendation is 150 pounds.
124236,The item weight of the OZO Fitness pedometer is 29 grams.
124237,The product's item weight is 16GB.
124238,The SSD in the image has a weight of 100 grams.
124239,The maximum weight recommendation is 25 pounds (lb) or 11 kilograms (kg).
124240,The product is rated at 20W.
